School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,F53,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE,latitude,longitude,ward,census_tract
2012-2013,District of Columbia Public Schools,Ballou HS,1,452,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20032,3401 4th St  SE,NULL,20032,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,3401 4TH STREET SE,399915.33,130176.29,38.83938266,-77.00097526,Ward 8,9803,20032,294567,,100,DC Address,,38.83938266,-77.00097526,Ward 8,9803
2012-2013,District of Columbia Public Schools,Cardozo HS at Meyer,1,454,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20009,2501 11th Street NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,2501 11TH STREET NW,397694,139439.5,38.92282623,-77.02659252,Ward 1,3500,20001,242979,,100,DC Address,,38.92282623,-77.02659252,Ward 1,3500
2012-2013,District of Columbia Public Schools,Coolidge HS,1,455,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,6315 5th St  NW,NULL,20011,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,6315 5TH STREET NW,398303.3,144374.62,38.96728457,-77.01957835,Ward 4,1902,20011,294615,,100,DC Address,,38.96728457,-77.01957835,Ward 4,1902
2012-2013,District of Columbia Public Schools,Roosevelt STAY,1,456,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,4301 13th St  NW,NULL,20011,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,NULL,4301 13TH STREET NW,397468.88,141682.3,38.94302943,-77.02919685,Ward 4,2501,20011,252605,,100,DC Address,,38.94302943,-77.02919685,Ward 4,2501
2012-2013,District of Columbia Public Schools,Eastern HS,1,457,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20003,1700 East Capitol St  NE,NULL,20003,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,NULL,1700 EAST CAPITOL STREET NE,401762.5,135840.08,38.89040266,-76.97968429,Ward 6,8002,20003,289529,,100,DC Address,,38.89040266,-76.97968429,Ward 6,8002
2012-2013,District of Columbia Public Schools,McKinley Technology HS,1,458,1100030,Magnet School,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,151 T St  NE,NULL,20002,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,151 T STREET NE,399642.48,138594.83,38.91522012,-77.00412244,Ward 5,8701,20002,296345,,100,DC Address,,38.91522012,-77.00412244,Ward 5,8701
2012-2013,District of Columbia Public Schools,Roosevelt HS,1,459,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,4301 13th St  NW,NULL,20011,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,4301 13TH STREET NW,397468.88,141682.3,38.94302943,-77.02919685,Ward 4,2501,20011,252605,,100,DC Address,,38.94302943,-77.02919685,Ward 4,2501
2012-2013,District of Columbia Public Schools,Spingarn HS,1,460,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,2500 Benning Rd  NE,NULL,20002,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,2500 BENNING ROAD NE,402516.7,136805.15,38.89909453,-76.97098736,Ward 5,8904,20002,294545,,100,DC Address,,38.89909453,-76.97098736,Ward 5,8904
2012-2013,District of Columbia Public Schools,Spingarn STAY,1,461,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,2500 Benning Rd  NE,NULL,20002,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,NULL,2500 BENNING ROAD NE,402516.7,136805.15,38.89909453,-76.97098736,Ward 5,8904,20002,294545,,100,DC Address,,38.89909453,-76.97098736,Ward 5,8904
2012-2013,District of Columbia Public Schools,Ballou STAY,1,462,1100030,Alternative Education School,Alternative Education School,www.dcps.dc.gov,No,Open,NULL,Washington,20032,3401 4th St  SE,NULL,20032,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,NULL,3401 4TH STREET SE,399915.33,130176.29,38.83938266,-77.00097526,Ward 8,9803,20032,294567,,100,DC Address,,38.83938266,-77.00097526,Ward 8,9803
2012-2013,District of Columbia Public Schools,Wilson HS,1,463,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20008,3950 Chesapeake St NW,NULL,20008,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,3950 CHESAPEAKE STREET NW,393258.18,142475.96,38.95015672,-77.0777757,Ward 3,1100,20016,294587,,100,DC Address,,38.95015672,-77.0777757,Ward 3,1100
2012-2013,District of Columbia Public Schools,Woodson H D HS,1,464,1100030,Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,540 55th St. NE,NULL,20019,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,NULL,540 55TH STREET NE,406737.85,136551.42,38.89678662,-76.92232826,Ward 7,7807,20019,309633,,100,DC Address,,38.89678662,-76.92232826,Ward 7,7807
2012-2013,District of Columbia Public Schools,Tuition Grant DCPS Non Public,1,465,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,1200 First St NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,NULL,1200 1ST STREET NE,399448.73,137581.05,38.90608754,-77.00635569,Ward 6,10600,20002,302635,,100,DC Address,,38.90608754,-77.00635569,Ward 6,10600
2012-2013,District of Columbia Public Schools,School Without Walls SHS,1,466,1100030,Magnet School,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20037,2130 G St  NW,NULL,20037,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,2130 G STREET NW,395820.01,136698.13,38.89812412,-77.04818647,Ward 2,10800,20037,242528,,100,DC Address,,38.89812412,-77.04818647,Ward 2,10800
2012-2013,District of Columbia Public Schools,Dunbar HS,1,467,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20001,1301 New Jersey Ave  NW,NULL,20001,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,1301 NEW JERSEY AVENUE NW,398725.55,137851.55,38.90852355,-77.01469386,Ward 5,4600,20001,279021,,100,DC Address,,38.90852355,-77.01469386,Ward 5,4600
2012-2013,District of Columbia Public Schools,Ellington School of the Arts,1,471,1100030,Magnet School,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20007,3500 R St  NW,NULL,20007,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,3500 R STREET NW,393902.4,138400.27,38.91344638,-77.07030757,Ward 2,300,20007,294569,,100,DC Address,,38.91344638,-77.07030757,Ward 2,300
2012-2013,District of Columbia Public Schools,Residential Schools,1,472,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,1200 First St NE,NULL,20002,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,NULL,1200 1ST STREET NE,399448.73,137581.05,38.90608754,-77.00635569,Ward 6,10600,20002,302635,,100,DC Address,,38.90608754,-77.00635569,Ward 6,10600
2012-2013,District of Columbia Public Schools,Washington Metropolitan HS,1,474,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20001,300 Bryant St NW,NULL,20001,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,300 BRYANT STREET NW,398648.83,139173.33,38.92043047,-77.01558101,Ward 1,3400,20001,294475,,100,DC Address,,38.92043047,-77.01558101,Ward 1,3400
2012-2013,District of Columbia Public Schools,Phelps Architecture Construction and Engineering HS,1,478,1100030,Magnet School/Vocational Shared Time,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20003,704 26th Street NE,NULL,20002,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,704 26TH STREET NE,402437.64,137126.77,38.90199202,-76.97189763,Ward 5,8904,20002,294495,,100,DC Address,,38.90199202,-76.97189763,Ward 5,8904
