"","B11003_003E","B11003_001E","NAME","state","county","tract","block group"
"112","23","222","Block Group 2, Census Tract 22.02, District of Columbia, District of Columbia","11","001","002202","2"
"113","0","208","Block Group 3, Census Tract 22.02, District of Columbia, District of Columbia","11","001","002202","3"
"114","7","280","Block Group 1, Census Tract 23.01, District of Columbia, District of Columbia","11","001","002301","1"
"115","99","390","Block Group 2, Census Tract 23.01, District of Columbia, District of Columbia","11","001","002301","2"
"116","12","121","Block Group 1, Census Tract 23.02, District of Columbia, District of Columbia","11","001","002302","1"
"117","47","147","Block Group 1, Census Tract 24, District of Columbia, District of Columbia","11","001","002400","1"
"118","43","217","Block Group 2, Census Tract 24, District of Columbia, District of Columbia","11","001","002400","2"
"119","7","154","Block Group 3, Census Tract 24, District of Columbia, District of Columbia","11","001","002400","3"
"120","64","212","Block Group 4, Census Tract 24, District of Columbia, District of Columbia","11","001","002400","4"
"121","60","184","Block Group 1, Census Tract 25.01, District of Columbia, District of Columbia","11","001","002501","1"
"122","100","230","Block Group 2, Census Tract 25.01, District of Columbia, District of Columbia","11","001","002501","2"
"123","43","122","Block Group 1, Census Tract 25.02, District of Columbia, District of Columbia","11","001","002502","1"
"124","67","256","Block Group 2, Census Tract 25.02, District of Columbia, District of Columbia","11","001","002502","2"
"125","47","264","Block Group 3, Census Tract 25.02, District of Columbia, District of Columbia","11","001","002502","3"
"126","42","245","Block Group 4, Census Tract 25.02, District of Columbia, District of Columbia","11","001","002502","4"
"127","79","275","Block Group 1, Census Tract 26, District of Columbia, District of Columbia","11","001","002600","1"
"128","104","342","Block Group 2, Census Tract 26, District of Columbia, District of Columbia","11","001","002600","2"
"129","0","54","Block Group 1, Census Tract 27.01, District of Columbia, District of Columbia","11","001","002701","1"
"130","44","207","Block Group 2, Census Tract 27.01, District of Columbia, District of Columbia","11","001","002701","2"
"131","14","197","Block Group 3, Census Tract 27.01, District of Columbia, District of Columbia","11","001","002701","3"
"132","39","313","Block Group 4, Census Tract 27.01, District of Columbia, District of Columbia","11","001","002701","4"
