school_code,school_name,cluster,count
151,Booker T  Washington PCS,Cluster 22,14
151,Booker T  Washington PCS,Cluster 23,18
151,Booker T  Washington PCS,Cluster 24,-1
151,Booker T  Washington PCS,Cluster 25,-1
151,Booker T  Washington PCS,Cluster 26,-1
151,Booker T  Washington PCS,Cluster 28,-1
151,Booker T  Washington PCS,Cluster 29,-1
151,Booker T  Washington PCS,Cluster 3,-1
151,Booker T  Washington PCS,Cluster 30,-1
151,Booker T  Washington PCS,Cluster 31,-1
151,Booker T  Washington PCS,Cluster 32,12
151,Booker T  Washington PCS,Cluster 33,18
151,Booker T  Washington PCS,Cluster 34,-1
151,Booker T  Washington PCS,Cluster 35,-1
151,Booker T  Washington PCS,Cluster 36,-1
151,Booker T  Washington PCS,Cluster 37,13
151,Booker T  Washington PCS,Cluster 38,12
151,Booker T  Washington PCS,Cluster 39,17
151,Booker T  Washington PCS,Cluster 6,-1
151,Booker T  Washington PCS,Cluster 7,22
151,Booker T  Washington PCS,Cluster 8,10
151,Booker T  Washington PCS,Cluster 9,-1
151,Booker T  Washington PCS,UNENCODABLE,27
212,Brent ES,Cluster 17,-1
212,Brent ES,Cluster 18,-1
212,Brent ES,Cluster 2,-1
212,Brent ES,Cluster 21,-1
212,Brent ES,Cluster 23,-1
212,Brent ES,Cluster 25,42
212,Brent ES,Cluster 26,231
212,Brent ES,Cluster 27,-1
212,Brent ES,Cluster 29,-1
212,Brent ES,Cluster 3,-1
212,Brent ES,Cluster 30,-1
212,Brent ES,Cluster 31,-1
212,Brent ES,Cluster 32,-1
212,Brent ES,Cluster 33,-1
212,Brent ES,Cluster 34,-1
212,Brent ES,Cluster 35,-1
212,Brent ES,Cluster 36,-1
212,Brent ES,Cluster 37,-1
212,Brent ES,Cluster 38,-1
212,Brent ES,Cluster 39,-1
212,Brent ES,Cluster 9,-1
212,Brent ES,UNENCODABLE,28
142,Bridges PCS,Cluster 1,-1
142,Bridges PCS,Cluster 10,-1
142,Bridges PCS,Cluster 15,-1
142,Bridges PCS,Cluster 16,-1
142,Bridges PCS,Cluster 17,24
142,Bridges PCS,Cluster 18,41
142,Bridges PCS,Cluster 19,-1
142,Bridges PCS,Cluster 2,24
142,Bridges PCS,Cluster 20,-1
142,Bridges PCS,Cluster 21,-1
142,Bridges PCS,Cluster 22,-1
142,Bridges PCS,Cluster 23,-1
142,Bridges PCS,Cluster 24,-1
142,Bridges PCS,Cluster 3,-1
142,Bridges PCS,Cluster 32,-1
142,Bridges PCS,Cluster 38,-1
142,Bridges PCS,Cluster 7,-1
142,Bridges PCS,Cluster 9,-1
142,Bridges PCS,UNENCODABLE,15
213,Brightwood EC,Cluster 16,-1
213,Brightwood EC,Cluster 17,302
213,Brightwood EC,Cluster 18,224
213,Brightwood EC,Cluster 19,-1
213,Brightwood EC,Cluster 2,-1
